SKU,stock,price,msrp,rebate,sale,name,brand,category,form factor,CPU,RAM,DDR,storage,OS,GPU,VRAM,screen res.,screen type,WiFi,keyboard,touch,ethernet,release year,warranty,warranty desc.,type,CPU score,score,url,updated,discovered,scanned
11U5006CUS,76,1813.0,1959.0,100.0,146.0,ThinkCentre M90q Gen 3,Lenovo,Desktop Computer,Tiny,Intel Core i7-12700T,0,DDR5,512,Windows,Integrated,N/A,N/A,N/A,Yes,English,N/A,N/A,2023,3 Year,"3-year, Onsite3Y Premier Support Upgrade from 3Y Onsite",desktop,,N/A,https://www.directdial.com/ca/item/lenovo-thinkcentre-m90q-gen-3-11u5006cus-desktop-computer/11u5006cus,09/15/2024,09/17/2024,1
89M69UT#ABA,9,1303.0,1269.0,0.0,0,Pro 400 G9,HP,Desktop Computer,SFF,Intel Core i5-13500,0,DDR4,256,Windows,Integrated,N/A,N/A,N/A,N/A,English,N/A,N/A,N/A,N/A,N/A,desktop,,N/A,https://www.directdial.com/ca/item/hp-pro-400-g9-desktop-computer/89m69ut-aba,09/15/2024,09/17/2024,1
12JF0000US,189,1039.0,1049.0,25.0,0,ThinkCentre neo 50s Gen 4,Lenovo,Desktop Computer,SFF,Intel Core i5-13400,0,DDR4,256,Windows,Integrated,N/A,N/A,N/A,Yes,English,N/A,N/A,N/A,1 Year,"1-year, Onsite3Y Onsite upgrade from 1Y Onsite",desktop,,N/A,https://www.directdial.com/ca/item/lenovo-thinkcentre-neo-50s-gen-4-12jf0000us-desktop-computer/12jf0000us,09/15/2024,09/17/2024,1
12E3004YCA,22,1243.0,1269.0,0.0,26.0,ThinkCentre M70q Gen 4,Lenovo,Desktop Computer,Tiny,Intel Core i5-13400T,0,DDR4,512,Windows,Integrated,N/A,N/A,N/A,Yes,French,N/A,N/A,2023,3 Year,"3-year, Onsite",desktop,,N/A,https://www.directdial.com/ca/item/lenovo-thinkcentre-m70q-gen-4-12e3004yca-desktop-computer/12e3004yca,09/15/2024,09/17/2024,1
89M75UT#ABA,5,1444.0,1429.0,0.0,0,Pro 400 G9,HP,Desktop Computer,SFF,Intel Core i5-13500,0,DDR4,512,Windows,Integrated,N/A,N/A,N/A,N/A,English,N/A,N/A,N/A,N/A,N/A,desktop,,N/A,https://www.directdial.com/ca/item/hp-pro-400-g9-desktop-computer/89m75ut-aba,09/15/2024,09/17/2024,1
12E30003CA,2,1100.0,1149.0,50.0,49.0,ThinkCentre M70q Gen 4,Lenovo,Desktop Computer,N/A,Intel Core i5-13400T,0,N/A,256,Windows,Integrated,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,3 Year,3 Year On-site,desktop,,N/A,https://www.directdial.com/ca/item/lenovo-thinkcentre-m70q-gen-4-12e30003ca-desktop-computer/12e30003ca,09/15/2024,09/17/2024,1
86Y65UT#ABA,49,1185.0,1499.0,300.0,314.0,Elite Mini 600 G9,HP,Desktop Computer,Tiny,Intel Core i5-13500T,0,DDR5,256,Windows,Integrated,N/A,N/A,N/A,Yes,English,N/A,N/A,N/A,N/A,N/A,desktop,,N/A,https://www.directdial.com/ca/item/hp-elite-mini-600-g9-desktop-computer/86y65ut-aba,09/15/2024,09/17/2024,1
9C428AW#ABA,146,1750.0,1986.95,0.0,237.0,Mini Conference G9,HP,Desktop Computer,Tiny,Intel Core i7-12700T,0,DDR5,256,Windows,Integrated,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,desktop,,N/A,https://www.directdial.com/ca/item/hp-mini-conference-g9-desktop-computer/9c428aw-aba,09/15/2024,09/17/2024,1
12E90003US,45,1855.0,1889.0,0.0,34.0,ThinkCentre M80q Gen 4,Lenovo,Desktop Computer,Tiny,Intel Core i7-13700T,0,DDR5,512,Windows,Integrated,N/A,N/A,N/A,Yes,English,N/A,N/A,2023,3 Year,N/A,desktop,,N/A,https://www.directdial.com/ca/item/lenovo-thinkcentre-m80q-gen-4-12e90003us-desktop-computer/12e90003us,09/15/2024,09/17/2024,1
12DN0014US,208,1426.0,1419.0,0.0,0,ThinkCentre M70s Gen 4,Lenovo,Desktop Computer,SFF,Intel Core i5-13400,0,DDR4,256,Windows,Integrated,N/A,N/A,N/A,Yes,English,N/A,N/A,2023,3 Year,"Base Warranty 3-year, Onsite",desktop,,N/A,https://www.directdial.com/ca/item/lenovo-thinkcentre-m70s-gen-4-12dn0014us-desktop-computer/12dn0014us,09/15/2024,09/17/2024,1
12E90001US,83,1442.0,1469.0,0.0,27.0,ThinkCentre M80q Gen 4,Lenovo,Desktop Computer,Tiny,Intel Core i5-13500T,0,DDR5,256,Windows,Integrated,N/A,N/A,N/A,Yes,English,N/A,N/A,2023,3 Year,"3-year, Onsite",desktop,,N/A,https://www.directdial.com/ca/item/lenovo-thinkcentre-m80q-gen-4-12e90001us-desktop-computer/12e90001us,09/15/2024,09/17/2024,1
89M65UT#ABC,2,1346.0,1549.0,200.0,203.0,Pro Mini 400 G9,HP,Desktop Computer,Tiny,Intel Core i7-13700T,0,DDR4,256,Windows,Integrated,N/A,N/A,N/A,Yes,French,N/A,N/A,N/A,N/A,N/A,desktop,,N/A,https://www.directdial.com/ca/item/hp-pro-mini-400-g9-desktop-computer/89m65ut-abc,09/15/2024,09/17/2024,1
11TG000ACA,14,1848.0,1939.0,0.0,91.0,ThinkCentre M80s Gen 3,Lenovo,Desktop Computer,SFF,Intel Core i7-12700,0,DDR5,512,Windows,Integrated,N/A,N/A,N/A,No,French,N/A,N/A,N/A,3 Year,N/A,desktop,,N/A,https://www.directdial.com/ca/item/lenovo-thinkcentre-m80s-gen-3-11tg000aca-desktop-computer/11tg000aca,09/15/2024,09/17/2024,1
T3TYP,29,978.0,1616.67,60.0,639.0,OptiPlex 7000 7010,Dell,Desktop Computer,Tiny,Intel Core i3-13100T,0,DDR4,256,Windows,Integrated,N/A,N/A,N/A,Yes,English (US),N/A,N/A,N/A,3 Year,3 Years Hardware Service with Onsite-Disti SNS,desktop,,N/A,https://www.directdial.com/ca/item/dell-optiplex-7000-7010-desktop-computer/t3typ,09/15/2024,09/17/2024,1
YNHFW,11,1637.0,2707.22,81.0,1000.0,OptiPlex 7000 7010 Plus,Dell,Desktop Computer,SFF,Intel Core i7-13700,0,DDR5,256,Windows,Integrated,N/A,N/A,N/A,No,English,N/A,N/A,2023,3 Year,3Y Basic Onsite Service with Hardware Support-Disti SnS,desktop,,N/A,https://www.directdial.com/ca/item/dell-optiplex-7000-7010-plus-desktop-computer/ynhfw,09/15/2024,09/17/2024,1
